®É¶¡,x,y,z,roll,pitch,»~®t­È
14:57:39,-0.01,0,-0.92,179.87,-0.63,0.92
14:57:39,0,-0.04,-0.97,178.73,-0.3,0.05
14:57:39,-0.03,0,-1.12,179.42,-0.9,0.15
14:57:40,-0.02,-0.02,-1.24,179.24,-1,0.12
14:57:41,0.01,-0.02,-1.19,179.25,-0.2,0.05
14:57:41,0,0.02,-1,-179.78,-0.11,0.19
14:57:41,0,0,-0.93,-179.88,0.05,0.07
14:57:42,0,-0.04,-1,178.83,0.03,0.07
14:57:42,-0.02,0,-1.14,179.45,-0.62,0.14
14:57:42,-0.01,-0.03,-0.93,178.92,-0.66,0.21
14:57:43,-0.01,-0.02,-1.09,178.84,-0.64,0.16
14:57:43,0,-0.02,-1.21,179.07,-0.4,0.12
14:57:44,0.01,0.03,-1,-179.65,0,0.21
14:57:44,0,0,-1.14,-179.73,0.1,0.14
14:57:45,-0.01,-0.03,-1.23,179.45,-0.24,0.09
14:57:47,0,-0.02,-1.03,179.36,0.2,0.2
14:57:47,-0.01,-0.01,-1.15,179.49,-0.21,0.12
14:57:47,-0.01,-0.02,-1.22,179.37,-0.39,0.07
14:57:47,-0.01,0.02,-1.05,-179.92,-0.51,0.17
14:57:48,0.01,0.01,-1.12,-179.76,0.05,0.07
14:57:48,-0.01,-0.03,-1.23,179.35,-0.26,0.11
14:57:49,-0.01,-0.01,-1.06,179.36,-0.34,0.17
14:57:50,-0.01,-0.01,-1.21,179.5,-0.45,0.15
14:57:50,-0.01,-0.03,-1.01,178.91,-0.55,0.2
14:57:51,-0.03,0,-1.15,179.47,-0.97,0.14
14:57:51,-0.02,-0.02,-1.25,179.28,-1.02,0.1
14:57:52,0,-0.02,-1.25,179.1,-0.41,0
14:57:52,-0.02,-0.03,-1.16,178.79,-0.58,0.09
14:57:52,0.02,0.02,-0.95,179.85,0.09,0.21
14:57:53,0,-0.01,-1.03,179.71,0.15,0.08
14:57:53,-0.01,-0.01,-1.2,179.57,-0.13,0.17
14:57:53,-0.01,0,-0.91,179.76,-0.29,0.29
14:57:54,-0.02,0.01,-1.16,179.84,-0.53,0.25
14:57:55,0.01,-0.04,-1.24,178.96,0.04,0.08
14:57:56,0.02,-0.01,-0.92,179.1,0.45,0.32
14:57:57,0,-0.01,-1.04,179.22,0.23,0.12
14:57:59,0.02,-0.04,-1.24,178.76,0.69,0.2
14:58:00,0,0.01,-1.02,179.55,0.47,0.22
14:58:00,0.01,0.01,-0.9,-179.9,0.59,0.12
14:58:00,0.01,-0.04,-0.98,178.92,0.52,0.08
14:58:00,-0.03,0.01,-1.13,179.71,-0.49,0.15
14:58:01,-0.03,-0.02,-0.95,179.29,-1.15,0.18
14:58:01,0,-0.01,-1.03,179.32,-0.57,0.08
14:58:04,-0.02,0,-1.14,179.78,-0.68,0.11
14:58:05,0,-0.01,-1.02,179.72,-0.18,0.12
14:58:06,-0.01,-0.01,-1.18,179.57,-0.39,0.16
14:58:09,0.01,-0.02,-0.93,179.32,0.12,0.25
14:58:09,0,-0.02,-1.03,179.12,0.06,0.1
14:58:09,-0.01,-0.01,-1.19,179.29,-0.18,0.16
14:58:10,0.01,-0.01,-0.93,179.39,0.23,0.26
14:58:10,-0.02,-0.02,-1.09,179.28,-0.31,0.16
14:58:11,-0.01,-0.01,-1.23,179.37,-0.44,0.14
14:58:12,-0.01,-0.01,-1.23,179.47,-0.48,0
14:58:13,-0.01,-0.02,-1.05,179.22,-0.55,0.18
14:58:14,0.01,-0.01,-0.93,179.25,0.02,0.12
14:58:14,-0.01,-0.03,-1.13,178.92,-0.3,0.2
14:58:15,-0.01,-0.03,-1.23,178.82,-0.33,0.1
14:58:15,0,-0.02,-0.93,178.81,-0.29,0.3
14:58:15,0.01,-0.02,-1.04,178.97,0.18,0.11
14:58:15,0,-0.02,-1.18,178.92,0.08,0.14
14:58:17,0.01,-0.02,-1.21,178.9,0.23,0.03
14:58:18,0.02,-0.02,-0.93,179.13,0.68,0.28
14:58:18,0.01,-0.03,-0.98,178.77,0.57,0.05
